@RELATION classifiers/SMV_RBF_new_2
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE class {C:/Users/XPS/Desktop/Clean This/Training Data/sv,C:/Users/XPS/Desktop/Clean This/Training Data/usv,C:/Users/XPS/Desktop/Clean This/Training Data/scratch}

@DATA
0.219550,0.206264,3.231825,0.284555,0.157539,0.344679,0.049624,0.228000,0.211757,0.207722,0.207270,-41.691259,-4.577728,-0.057273,0.258723,-0.066509,0.228466,0.210773,-0.288757,-0.683059,-0.058386,0.403307,-0.668051,-1.341312,0.005883,0.022746,0.046315,0.017376,0.014870,0.126321,0.017960,0.014991,0.001670,0.005217,0.005322,1.072197,0.596448,0.036788,0.093472,0.039463,0.017866,0.047417,0.047670,0.082459,0.017840,0.045943,0.081629,0.146514,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.196084,0.194029,3.200407,0.279597,0.168119,0.473870,0.048306,0.219055,0.192145,0.186509,0.185782,-41.730234,-4.541669,-0.072198,0.268225,-0.076224,0.227582,0.231827,-0.315407,-0.665107,-0.070713,0.402486,-0.658471,-1.355637,0.005386,0.037066,0.060362,0.014145,0.014688,0.124846,0.022839,0.009673,0.005382,0.005418,0.005564,0.990662,0.565405,0.062156,0.102173,0.052812,0.042034,0.053233,0.054107,0.100614,0.049096,0.057863,0.090682,0.143327,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.236737,0.108128,3.184438,0.282137,0.159258,1.023862,0.036407,0.318316,0.217474,0.177305,0.155537,-42.316483,-4.260985,-0.004280,0.176644,-0.038474,0.245539,0.172290,-0.279259,-0.615000,-0.059013,0.352721,-0.598078,-1.245763,0.027727,0.019272,0.044997,0.022049,0.012362,0.161844,0.008664,0.044379,0.041474,0.016126,0.002358,0.882585,0.479289,0.045841,0.082458,0.036434,0.017674,0.044034,0.027923,0.076191,0.020286,0.044853,0.071147,0.117216,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.206254,0.118339,3.214382,0.269691,0.165332,0.365151,0.071042,0.215022,0.198711,0.191733,0.187156,-42.629944,-4.063914,-0.033667,0.174683,-0.039184,0.234203,0.156915,-0.259210,-0.582572,-0.078648,0.368368,-0.590516,-1.204161,0.010319,0.026152,0.040270,0.022191,0.017481,0.148325,0.028461,0.026578,0.012044,0.005778,0.001822,1.161742,0.647410,0.053182,0.115508,0.056845,0.036562,0.063405,0.042746,0.092791,0.028091,0.055208,0.078714,0.161058,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.221656,0.087334,3.122798,0.273098,0.153029,0.420814,0.057268,0.242504,0.216730,0.206748,0.202226,-42.591663,-4.081396,-0.026220,0.197270,-0.054231,0.225864,0.161244,-0.258288,-0.585120,-0.073649,0.361280,-0.597951,-1.222857,0.013350,0.018752,0.091322,0.015310,0.011938,0.113813,0.018279,0.020313,0.013322,0.003617,0.001809,0.832274,0.460361,0.039625,0.060966,0.028699,0.018744,0.037584,0.030829,0.069654,0.022982,0.042167,0.058295,0.105155,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.210949,0.179863,3.207447,0.258931,0.157638,0.349609,0.067130,0.230120,0.201880,0.195880,0.190520,-41.747903,-4.589205,-0.032612,0.245637,-0.068364,0.228203,0.206915,-0.288854,-0.659641,-0.057080,0.403082,-0.655034,-1.321146,0.009948,0.020412,0.054677,0.020094,0.017567,0.150396,0.029525,0.018600,0.011160,0.005480,0.000760,0.936791,0.498600,0.053193,0.078475,0.031531,0.010625,0.051944,0.034464,0.093915,0.017692,0.045262,0.070262,0.124591,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.216133,0.094715,3.154837,0.281907,0.161506,0.519198,0.048155,0.235040,0.204800,0.201600,0.199520,-42.550548,-4.108324,-0.016625,0.184437,-0.058141,0.221997,0.164641,-0.253281,-0.588245,-0.072666,0.369211,-0.589795,-1.235975,0.011529,0.012510,0.068091,0.013977,0.015726,0.172908,0.022743,0.017600,0.000640,0.003600,0.005120,0.751597,0.410954,0.054948,0.070112,0.021883,0.019823,0.032900,0.035165,0.065856,0.018598,0.035167,0.068028,0.099384,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.195006,0.319637,3.244496,0.275903,0.166401,0.284435,0.055475,0.207433,0.194767,0.190600,0.190067,-41.631292,-4.589727,-0.054505,0.268288,-0.061010,0.224101,0.222691,-0.324073,-0.662163,-0.063402,0.373482,-0.676406,-1.358882,0.005621,0.023240,0.022592,0.011152,0.016082,0.067178,0.020465,0.005567,0.004967,0.008867,0.008867,0.942776,0.553787,0.050993,0.067063,0.035729,0.025897,0.048914,0.041415,0.084274,0.034780,0.056184,0.067973,0.114085,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.216573,0.171172,3.158283,0.273374,0.153190,0.595427,0.041539,0.252400,0.203850,0.193550,0.192100,-41.856906,-4.522299,-0.036826,0.233771,-0.067754,0.214643,0.216095,-0.285865,-0.650692,-0.056899,0.404685,-0.639834,-1.306739,0.023169,0.040019,0.095294,0.020123,0.014103,0.251706,0.013116,0.046600,0.011450,0.001550,0.001900,0.918288,0.499608,0.055490,0.075097,0.042285,0.025528,0.044958,0.031842,0.076529,0.017627,0.045923,0.067653,0.128333,C:/Users/XPS/Desktop/Clean This/Training Data/sv
0.202808,0.053858,3.225704,0.269305,0.167490,0.371868,0.038560,0.220738,0.201292,0.187631,0.185169,-43.087222,-3.795013,-0.032680,0.144220,-0.019374,0.195349,0.152566,-0.231948,-0.559975,-0.063171,0.343673,-0.552029,-1.168258,0.016629,0.007509,0.032349,0.028937,0.020641,0.196887,0.017482,0.033046,0.014831,0.001662,0.001415,0.857274,0.490175,0.046958,0.079473,0.054114,0.044649,0.024903,0.038741,0.052874,0.020758,0.050887,0.077944,0.120116,C:/Users/XPS/Desktop/Clean This/Training Data/sv
